date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:20	45800/45800	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:14%20GMT	http://glanz.starkethemes.com/wedding-cakes/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wedding-cakes/index.html	(from http://glanz.starkethemes.com/)
14:29:20	27994/27994	---M--	200	added ('OK')	image/jpeg	etag:%22595dc514-6d5a%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/b2-600x340.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/b2-600x340.jpg	(from http://glanz.starkethemes.com/)
14:29:22	41993/41993	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:15%20GMT	http://glanz.starkethemes.com/wedding-flowers/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wedding-flowers/index.html	(from http://glanz.starkethemes.com/)
14:29:26	90417/90417	---M--	200	added ('OK')	image/gif	etag:%22595dc72e-16131%22	http://glanz.starkethemes.com/wp-content/themes/glanztheme/images/animations/ourwedding.gif	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/themes/glanztheme/images/animations/ourwedding.gif	(from http://glanz.starkethemes.com/)
14:29:27	35813/35813	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:21%20GMT	http://glanz.starkethemes.com/invitation-i/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/invitation-i/index.html	(from http://glanz.starkethemes.com/)
14:29:28	47105/47105	---M--	200	added ('OK')	image/gif	etag:%22595dc732-b801%22	http://glanz.starkethemes.com/wp-content/themes/glanztheme/images/invitations/inv_i/save_the_date_pu.gif	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/themes/glanztheme/images/invitations/inv_i/save_the_date_pu.gif	(from http://glanz.starkethemes.com/)
14:29:29	35834/35834	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:23%20GMT	http://glanz.starkethemes.com/invitation-ii/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/invitation-ii/index.html	(from http://glanz.starkethemes.com/)
14:29:30	50791/50791	---M--	200	added ('OK')	image/jpeg	etag:%22595dc514-c667%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/i1-600x403.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/i1-600x403.jpg	(from http://glanz.starkethemes.com/)
14:29:32	35830/35830	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Aug%202021%2018:29:25%20GMT	http://glanz.starkethemes.com/invitation-iii/	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/invitation-iii/index.html	(from http://glanz.starkethemes.com/)
14:29:35	49317/49317	---M--	200	added ('OK')	image/jpeg	etag:%22595dc514-c0a5%22	http://glanz.starkethemes.com/wp-content/uploads/2017/07/i2-600x403.jpg	C:/My%20Web%20Sites/wedding/glanz.starkethemes.com/wp-content/uploads/2017/07/i2-600x403.jpg	(from http://glanz.starkethemes.com/)
